id,language,text
1,nl,"Mijn pakket zou gisteren geleverd worden, maar er is niks gekomen."
2,nl,Supersnel geleverd! Binnen een dag in huis.
3,nl,Product werkt niet eens. Na één dag al kapot.
4,nl,"De klantenservice was vriendelijk, maar ik moest wel 25 minuten wachten."
5,nl,Retour sturen is echt gedoe. Geen duidelijke instructies.
6,nl,Heel blij met mijn aankoop! Precies wat ik nodig had.
7,nl,"Website liep vast tijdens het betalen, drie keer opnieuw moeten proberen."
8,nl,Bezorger zette het pakket gewoon in de regen.
9,nl,Alles was in orde. Niks op aan te merken.
10,nl,"De verpakking was beschadigd, maar het product gelukkig niet."
11,nl,Pakket kwijtgeraakt volgens track-and-trace.
12,nl,Superchagrijnige medewerker aan de telefoon.
13,nl,Bestelling sneller geleverd dan verwacht!
14,nl,"Voorraadstatus klopt niet. Staat op voorraad, maar levering duurt lang."
15,nl,Verkeerd artikel toegestuurd gekregen.
16,nl,"Prijs is scherp, kwaliteit prima."
17,nl,"Drukte snap ik, maar twee weken wachten is te lang."
18,nl,Fantastisch geholpen via de chat.
19,nl,Instructies ontbreken volledig.
20,nl,Product doet precies wat het moet doen.
21,nl,"Mijn pakket zou gisteren geleverd worden, maar er is niks gekomen."
22,nl,Supersnel geleverd! Binnen een dag in huis.
23,nl,Product werkt niet eens. Na één dag al kapot.
24,nl,"De klantenservice was vriendelijk, maar ik moest wel 25 minuten wachten."
25,nl,Retour sturen is echt gedoe. Geen duidelijke instructies.
26,nl,Heel blij met mijn aankoop! Precies wat ik nodig had.
27,nl,"Website liep vast tijdens het betalen, drie keer opnieuw moeten proberen."
28,nl,Bezorger zette het pakket gewoon in de regen.
29,nl,Alles was in orde. Niks op aan te merken.
30,nl,"De verpakking was beschadigd, maar het product gelukkig niet."
31,nl,Pakket kwijtgeraakt volgens track-and-trace.
32,nl,Superchagrijnige medewerker aan de telefoon.
33,nl,Bestelling sneller geleverd dan verwacht!
34,nl,"Voorraadstatus klopt niet. Staat op voorraad, maar levering duurt lang."
35,nl,Verkeerd artikel toegestuurd gekregen.
36,nl,"Prijs is scherp, kwaliteit prima."
37,nl,"Drukte snap ik, maar twee weken wachten is te lang."
38,nl,Fantastisch geholpen via de chat.
39,nl,Instructies ontbreken volledig.
40,nl,Product doet precies wat het moet doen.
41,nl,"Mijn pakket zou gisteren geleverd worden, maar er is niks gekomen."
42,nl,Supersnel geleverd! Binnen een dag in huis.
43,nl,Product werkt niet eens. Na één dag al kapot.
44,nl,"De klantenservice was vriendelijk, maar ik moest wel 25 minuten wachten."
45,nl,Retour sturen is echt gedoe. Geen duidelijke instructies.
46,nl,Heel blij met mijn aankoop! Precies wat ik nodig had.
47,nl,"Website liep vast tijdens het betalen, drie keer opnieuw moeten proberen."
48,nl,Bezorger zette het pakket gewoon in de regen.
49,nl,Alles was in orde. Niks op aan te merken.
50,nl,"De verpakking was beschadigd, maar het product gelukkig niet."
51,nl,Pakket kwijtgeraakt volgens track-and-trace.
52,nl,Superchagrijnige medewerker aan de telefoon.
53,nl,Bestelling sneller geleverd dan verwacht!
54,nl,"Voorraadstatus klopt niet. Staat op voorraad, maar levering duurt lang."
55,nl,Verkeerd artikel toegestuurd gekregen.
56,nl,"Prijs is scherp, kwaliteit prima."
57,nl,"Drukte snap ik, maar twee weken wachten is te lang."
58,nl,Fantastisch geholpen via de chat.
59,nl,Instructies ontbreken volledig.
60,nl,Product doet precies wat het moet doen.
61,nl,"Mijn pakket zou gisteren geleverd worden, maar er is niks gekomen."
62,nl,Supersnel geleverd! Binnen een dag in huis.
63,nl,Product werkt niet eens. Na één dag al kapot.
64,nl,"De klantenservice was vriendelijk, maar ik moest wel 25 minuten wachten."
65,nl,Retour sturen is echt gedoe. Geen duidelijke instructies.
66,nl,Heel blij met mijn aankoop! Precies wat ik nodig had.
67,nl,"Website liep vast tijdens het betalen, drie keer opnieuw moeten proberen."
68,nl,Bezorger zette het pakket gewoon in de regen.
69,nl,Alles was in orde. Niks op aan te merken.
70,nl,"De verpakking was beschadigd, maar het product gelukkig niet."
71,nl,Pakket kwijtgeraakt volgens track-and-trace.
72,nl,Superchagrijnige medewerker aan de telefoon.
73,nl,Bestelling sneller geleverd dan verwacht!
74,nl,"Voorraadstatus klopt niet. Staat op voorraad, maar levering duurt lang."
75,nl,Verkeerd artikel toegestuurd gekregen.
76,nl,"Prijs is scherp, kwaliteit prima."
77,nl,"Drukte snap ik, maar twee weken wachten is te lang."
78,nl,Fantastisch geholpen via de chat.
79,nl,Instructies ontbreken volledig.
80,nl,Product doet precies wat het moet doen.
81,nl,"Mijn pakket zou gisteren geleverd worden, maar er is niks gekomen."
82,nl,Supersnel geleverd! Binnen een dag in huis.
83,nl,Product werkt niet eens. Na één dag al kapot.
84,nl,"De klantenservice was vriendelijk, maar ik moest wel 25 minuten wachten."
85,nl,Retour sturen is echt gedoe. Geen duidelijke instructies.
86,nl,Heel blij met mijn aankoop! Precies wat ik nodig had.
87,nl,"Website liep vast tijdens het betalen, drie keer opnieuw moeten proberen."
88,nl,Bezorger zette het pakket gewoon in de regen.
89,nl,Alles was in orde. Niks op aan te merken.
90,nl,"De verpakking was beschadigd, maar het product gelukkig niet."
91,nl,Pakket kwijtgeraakt volgens track-and-trace.
92,nl,Superchagrijnige medewerker aan de telefoon.
93,nl,Bestelling sneller geleverd dan verwacht!
94,nl,"Voorraadstatus klopt niet. Staat op voorraad, maar levering duurt lang."
95,nl,Verkeerd artikel toegestuurd gekregen.
96,nl,"Prijs is scherp, kwaliteit prima."
97,nl,"Drukte snap ik, maar twee weken wachten is te lang."
98,nl,Fantastisch geholpen via de chat.
99,nl,Instructies ontbreken volledig.
100,nl,Product doet precies wat het moet doen.
101,en,"My order was supposed to arrive yesterday, but nothing showed up."
102,en,Super fast delivery! Got it the next day.
103,en,The product doesn’t work. Broke after one day.
104,en,"Customer service was kind, but I waited 25 minutes."
105,en,Returning items is such a hassle.
106,en,Really happy with my purchase!
107,en,"Website crashed during checkout, had to try three times."
108,en,Courier left the package out in the rain.
109,en,Everything was fine. No complaints.
110,en,Box arrived damaged but item was okay.
111,en,Tracking says my package is lost.
112,en,The agent on the phone sounded grumpy.
113,en,Order arrived earlier than expected!
114,en,Stock info is wrong. Says in stock but ships slowly.
115,en,I got sent the wrong item.
116,en,"Good price, quality is fine."
117,en,"I understand delays, but two weeks is too long."
118,en,Great help on the live chat.
119,en,No instructions included.
120,en,Product works exactly as described.
121,en,"My order was supposed to arrive yesterday, but nothing showed up."
122,en,Super fast delivery! Got it the next day.
123,en,The product doesn’t work. Broke after one day.
124,en,"Customer service was kind, but I waited 25 minutes."
125,en,Returning items is such a hassle.
126,en,Really happy with my purchase!
127,en,"Website crashed during checkout, had to try three times."
128,en,Courier left the package out in the rain.
129,en,Everything was fine. No complaints.
130,en,Box arrived damaged but item was okay.
131,en,Tracking says my package is lost.
132,en,The agent on the phone sounded grumpy.
133,en,Order arrived earlier than expected!
134,en,Stock info is wrong. Says in stock but ships slowly.
135,en,I got sent the wrong item.
136,en,"Good price, quality is fine."
137,en,"I understand delays, but two weeks is too long."
138,en,Great help on the live chat.
139,en,No instructions included.
140,en,Product works exactly as described.
141,en,"My order was supposed to arrive yesterday, but nothing showed up."
142,en,Super fast delivery! Got it the next day.
143,en,The product doesn’t work. Broke after one day.
144,en,"Customer service was kind, but I waited 25 minutes."
145,en,Returning items is such a hassle.
146,en,Really happy with my purchase!
147,en,"Website crashed during checkout, had to try three times."
148,en,Courier left the package out in the rain.
149,en,Everything was fine. No complaints.
150,en,Box arrived damaged but item was okay.
151,en,Tracking says my package is lost.
152,en,The agent on the phone sounded grumpy.
153,en,Order arrived earlier than expected!
154,en,Stock info is wrong. Says in stock but ships slowly.
155,en,I got sent the wrong item.
156,en,"Good price, quality is fine."
157,en,"I understand delays, but two weeks is too long."
158,en,Great help on the live chat.
159,en,No instructions included.
160,en,Product works exactly as described.
161,en,"My order was supposed to arrive yesterday, but nothing showed up."
162,en,Super fast delivery! Got it the next day.
163,en,The product doesn’t work. Broke after one day.
164,en,"Customer service was kind, but I waited 25 minutes."
165,en,Returning items is such a hassle.
166,en,Really happy with my purchase!
167,en,"Website crashed during checkout, had to try three times."
168,en,Courier left the package out in the rain.
169,en,Everything was fine. No complaints.
170,en,Box arrived damaged but item was okay.
171,en,Tracking says my package is lost.
172,en,The agent on the phone sounded grumpy.
173,en,Order arrived earlier than expected!
174,en,Stock info is wrong. Says in stock but ships slowly.
175,en,I got sent the wrong item.
176,en,"Good price, quality is fine."
177,en,"I understand delays, but two weeks is too long."
178,en,Great help on the live chat.
179,en,No instructions included.
180,en,Product works exactly as described.
181,en,"My order was supposed to arrive yesterday, but nothing showed up."
182,en,Super fast delivery! Got it the next day.
183,en,The product doesn’t work. Broke after one day.
184,en,"Customer service was kind, but I waited 25 minutes."
185,en,Returning items is such a hassle.
186,en,Really happy with my purchase!
187,en,"Website crashed during checkout, had to try three times."
188,en,Courier left the package out in the rain.
189,en,Everything was fine. No complaints.
190,en,Box arrived damaged but item was okay.
191,en,Tracking says my package is lost.
192,en,The agent on the phone sounded grumpy.
193,en,Order arrived earlier than expected!
194,en,Stock info is wrong. Says in stock but ships slowly.
195,en,I got sent the wrong item.
196,en,"Good price, quality is fine."
197,en,"I understand delays, but two weeks is too long."
198,en,Great help on the live chat.
199,en,No instructions included.
200,en,Product works exactly as described.
